GENE_SYMBOL	NAME	COSMIC_GENE_ID	CHROMOSOME	GENOME_START	GENOME_STOP	CHR_BAND	SOMATIC	GERMLINE	TUMOUR_TYPES_SOMATIC	TUMOUR_TYPES_GERMLINE	CANCER_SYNDROME	TISSUE_TYPE	MOLECULAR_GENETICS	ROLE_IN_CANCER	MUTATION_TYPES	TRANSLOCATION_PARTNER	OTHER_GERMLINE_MUT	OTHER_SYNDROME	TIER	SYNONYMS
A1CF	APOBEC1 complementation factor	COSG46891	10	52559169	52645435	10q11.23	y	n	melanoma			E		oncogene	Mis		n		2	A1CF,ENSG00000148584.10,Q9NQ94,29974,ACF,ACF64,ACF65,APOBEC1CF,ASP
ABI1	abl interactor 1	COSG5120	10	27035522	27150016	10p12.1	y	n	AML			L	Dom	TSG, fusion	T	KMT2A	n		1	ABI1,ENSG00000136754.12,Q8IZP0,10006,ABI-1,E3B1
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	COSG4968	9	133589333	133763062	9q34.12	y	n	CML, ALL, T-ALL			L	Dom	oncogene, fusion	T, Mis	BCR, ETV6, NUP214	n		1	ABL1,ENSG00000097007.13,P00519,25,JTK7,c-ABL,p150
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	COSG36573	1	179068462	179198819	1q25.2	y	n	AML			L	Dom	oncogene, fusion	T	ETV6	n		1	ABL2,ENSG00000143322.15,P42684,27,ARG
ACKR3	atypical chemokine receptor 3	COSG38910	2	237476430	237491001	2q37.3	y	n	lipoma			M	Dom	oncogene, fusion	T	HMGA2	n		1	ACKR3,ENSG00000144476.5,P25106,57007,GPR159,RDC1
ACSL3	acyl-CoA synthetase long chain family member 3	COSG4424	2	223725652	223809357	2q36.1	y	n	prostate			E	Dom	fusion	T	ETV1	n		1	ACSL3,ENSG00000123983.9,O95573,2181,ACS3,PRO2194
ACSL6	acyl-CoA synthetase long chain family member 6	COSG31944	5	131142683	131347936	5q31.1	y	n	AML, AEL			L	Dom	fusion	T	ETV6	n		2	ACSL6,ENSG00000164398.8,Q9UKU0,23305,ACS2,KIAA0837,LACS2,LACS5
ACTB	actin beta	COSG1705	7	5566782	5603415	7p22.1	y	n	adnexal carcinoma, DLBCL, GLI1-altered mesenchymal tumour, Hodgkin lymphoma, pericytoma, pseudomyogenic haemangioendothelioma, salivary gland adenoid cystic carcinoma, RCC, urothelial bladder carcinoma			E, L, M, O		fusion	T, F, N, Mis, O	FOSB, GLI1, TFEB, ZMIZ2	n		2	ACTB,ENSG00000075624.9,P60709,60
ACVR1	activin A receptor type 1	COSG33541	2	158592958	158732374	2q24.1	y	n	DIPG			O	Dom	oncogene	Mis		y	Fibrodysplasia ossificans progressiva	1	ACVR1,ENSG00000115170.9,Q04771,90,ACVR1A,ALK2,SKR1
ACVR1B	activin A receptor type 1B	COSG33915	12	52345451	52390862	12q13.13	y	n	pancreatic cancer			E		TSG	D, F, Mis, N		n		1	ACVR1B,ENSG00000135503.8,P36896,91,ALK4,ActRIB,SKR2
